ID,First_Name,Mid_Name,Last_Name,Percentage,Collegeid
400874,Eesha,Kunal,Lamba,96.18,10
400875,Kiara,Neel,Halder,96.18,10
400876,Lokesh,Nirav,Kulkarni,96.18,10
400877,Atharva,Ansh,Chopra,96.17,10
400878,Raj,Vishal,Roy,96.16,10
400879,Harsh,Krish,Uppal,96.16,10
400880,Surya,Rishabh,Verma,96.16,10
400881,Bhavya,Ishan,Chauhan,96.16,10
400882,Sahil,Divyansh,Sehgal,96.16,10
400883,Vivaan,Hrithik,Uppal,96.16,10
400884,Zoya,Karan,Chatterjee,96.16,10
400885,Mohit,Manish,Uday,96.16,10
400886,Arjun,Aarush,Xavier,96.16,10
400887,Raj,Chirag,Rastogi,96.15,10
400888,Riya,Rohit,Xavier,96.15,10
400889,Kunal,Karan,Varma,96.13,10
400890,Niyati,Aayush,Lal,96.11,10
400891,Krish,Tanish,Banerjee,96.11,10
400892,Advait,Naman,Lamba,96.11,10
400893,Zara,Siddharth,Kothari,96.1,10
400894,Sia,Ayush,Bhat,96.08,10
400895,Chahat,Jatin,Xalxo,96.07,10
400896,Arya,Zivaan,Mehta,96.07,10
400897,Lokesh,Chandan,Dubey,96.07,10
400898,Kritika,Zayn,Mazumdar,96.07,10
400899,Vedika,Ojas,Edara,96.06,11
400900,Chirag,Tejas,Mazumdar,96.06,11
400901,Laksh,Vivaan,Das,96.06,11
400902,Mehak,Karan,Pai,96.06,11
400903,Hemangi,Arjun,Pillai,96.05,11
400904,Gaurav,Sahil,Iyer,96.05,11
400905,Zainab,Ishaan,Singh,96.05,11
400906,Devika,Krish,Jindal,96.04,11
400907,Kunal,Zayn,Rastogi,96.04,11
400908,Kunal,Hitesh,Inamdar,96.04,11
400909,Samarth,Jai,Sharma,96.02,11
400910,Ansh,Advait,Nair,96.02,11
400911,Kunal,Laksh,Chatterjee,96.02,11
400912,Ojasvi,Jatin,Chopra,96.02,11
400913,Pranavi,Virat,Ojha,96.02,11
400914,Bhavya,Gautam,Zinta,96.02,11
400915,Yuvan,Ayushman,Chauhan,96.02,11
400916,Mayank,Shubham,Chopra,96.02,11
400917,Trisha,Shivansh,Jain,95.99,11
400918,Ayush,Pranav,Sharma,95.99,11
400919,Bhavya,Akshay,Ojha,95.99,11
400920,Hrithik,Rohit,Mazumdar,95.99,11
400921,Hrithik,Manish,Bhat,95.99,11
400922,Manish,Ritvik,Banerjee,95.99,11
400923,Tanisha,Raj,Mittal,95.99,11
400924,Nirav,Ayushman,Halder,95.99,11
400925,Dev,Zivaan,Jha,95.99,11
400926,Yashi,Akshay,Khan,95.98,11
400927,Tanish,Ishaan,Lal,95.98,11
400928,Dev,Surya,Loya,95.97,11
400929,Aarush,Advait,Kapoor,95.97,11
400930,Arjun,Zivaan,Zala,95.97,11
400931,Khushi,Abhishek,Pandey,95.97,11
400932,Pratik,Dhruv,Mukherjee,95.97,11
400933,Dhruv,Sahil,Gupta,95.97,11
400934,Yuvan,Yuvan,Inamdar,95.97,11
400935,Pihu,Eshan,Yagnik,95.97,11
400936,Kavya,Vivaan,Vaghela,95.97,11
400937,Brijesh,Vivaan,Agarwal,95.97,11
400938,Kavya,Brijesh,Gupta,95.97,11
400939,Jatin,Ishaan,Xalxo,95.97,12
400940,Varun,Kunal,Bhattacharya,95.97,12
400941,Kunal,Ojas,Inamdar,95.97,12
400942,Kavya,Aarush,Das,95.97,12
400943,Gautam,Aryan,Sachdev,95.97,12
400944,Chirag,Tejas,Trivedi,95.97,12
400945,Sia,Aryan,Gupta,95.97,12
400946,Raj,Varun,Bhattacharya,95.96,12
400947,Sanya,Vishal,Thakur,95.94,12
400948,Samarth,Divyansh,Sethi,95.92,12
400949,Harsh,Tejas,Achari,95.92,12
400950,Navya,Harsh,Yadav,95.92,12
400951,Divya,Pranav,Arora,95.92,12
400952,Bhavika,Gautam,Sehgal,95.92,12
400953,Meher,Rohit,Lamba,95.9,12
400954,Trisha,Abhinav,Tiwari,95.9,12
400955,Laksh,Akash,Jha,95.88,12
400956,Advika,Om,Sethi,95.88,12
400957,Pihu,Chirag,Wadhwa,95.88,12
400958,Oviya,Aditya,Halder,95.88,12
400959,Sanya,Devansh,Lal,95.88,12
400960,Lavanya,Surya,Patel,95.86,12
400961,Pranav,Aditya,Zinta,95.86,12
400962,Vedika,Zayn,Sethi,95.86,12
400963,Shubham,Shubham,Uday,95.84,12
400964,Tejas,Neel,Rastogi,95.84,12
400965,Sanya,Aadi,Bhat,95.84,12
400966,Harsh,Ishaan,Bhattacharya,95.84,12
400967,Lakshmi,Pranav,Rastogi,95.81,12
400968,Navya,Rohit,Bhattacharya,95.81,12
400969,Vedika,Akshay,Sehgal,95.79,12
400970,Urvashi,Pratik,Rastogi,95.79,12
400971,Ishika,Vishal,Fadnavis,95.79,12
400972,Vaishnavi,Manish,Mazumdar,95.79,12
400973,Lakshmi,Mohit,Ahuja,95.79,12
400974,Bhavin,Aarush,Joshi,95.79,12
400975,Divya,Pratham,Achari,95.78,12
400976,Ira,Hitesh,Arora,95.78,12
400977,Sakshi,Ayushman,Edara,95.78,12
400978,Sanya,Bhavya,Varma,95.78,12
400979,Samarth,Devansh,Ahuja,95.78,12
400980,Aditya,Aditya,Uday,95.76,12
400981,Dia,Utkarsh,Dubey,95.76,12
400982,Gaurav,Aryan,Loya,95.76,12
400983,Ayushman,Zorawar,Roy,95.76,13
400984,Tejas,Naman,Iyer,95.76,13
400985,Dia,Ishan,Sinha,95.76,13
400986,Gauri,Zivaan,Singh,95.73,13
400987,Nirav,Brijesh,Rao,95.73,13
400988,Atharva,Varun,Lal,95.73,13
400989,Abhinav,Gautam,Bose,95.73,13
400990,Utkarsh,Yash,Iyer,95.73,13
400991,Qirat,Jatin,Zinta,95.73,13
400992,Pratham,Chandan,Mukherjee,95.73,13
400993,Hrithik,Mohit,Uday,95.73,13
400994,Vrinda,Rohit,Nair,95.73,13
400995,Tanish,Aditya,Sethi,95.73,13
400996,Ananya,Varun,Mukherjee,95.71,13
400997,Dev,Utkarsh,Iyer,95.71,13
400998,Jatin,Eshan,Kothari,95.71,13
400999,Shivansh,Rohit,Rastogi,95.71,13
401000,Siddharth,Aditya,Sachdev,95.71,13
401001,Eshan,Tanish,Lal,95.71,13
401002,Ojas,Raj,Ojha,95.68,13
401003,Bhavya,Vishal,Bhattacharya,95.68,13
401004,Inaya,Om,Yadav,95.68,13
401005,Chandan,Sahil,Achari,95.68,13
401006,Ayushman,Chirag,Qazi,95.68,13
401007,Yuvan,Shivansh,Malhotra,95.68,13
401008,Devansh,Kunal,Pandey,95.68,13
401009,Chahat,Ekansh,Sharma,95.68,13
401010,Surya,Kunal,Thakur,95.68,13
401011,Pratik,Laksh,Mukherjee,95.67,13
401012,Trisha,Vishal,Mehta,95.67,13
401013,Disha,Chirag,Fadnavis,95.67,13
401014,Sahil,Zivaan,Zaveri,95.67,13
401015,Surya,Zayn,Ranganathan,95.64,13
401016,Arjun,Om,Chopra,95.64,13
401017,Ishika,Krish,Iyer,95.64,13
401018,Janvi,Zorawar,Goswami,95.64,13
401019,Ayushman,Aarav,Rastogi,95.64,13
401020,Disha,Vivaan,Kulkarni,95.64,13
401021,Mohit,Aarav,Sharma,95.61,13
401022,Vaishnavi,Kunal,Rastogi,95.61,13
401023,Niyati,Tanish,Chatterjee,95.61,13
401024,Pihu,Vishal,Chauhan,95.61,13
401025,Kritika,Hitesh,Pai,95.61,14
401026,Chirag,Atharva,Ahuja,95.6,14
401027,Janvi,Om,Sondhi,95.6,14
401028,Aarav,Shubham,Zala,95.6,14
401029,Eva,Aarush,Zaveri,95.6,14
401030,Mayank,Jai,Sethi,95.59,14
401031,Bhavika,Ishan,Ranganathan,95.59,14
401032,Kavya,Ekansh,Iyer,95.56,14
401033,Aaradhya,Kunal,Thakur,95.56,14
401034,Pratik,Arjun,Dhillon,95.56,14
401035,Arya,Ishaan,Nagpal,95.56,14
401036,Aadi,Laksh,Edara,95.56,14
401037,Vrinda,Chandan,Bose,95.55,14
401038,Brijesh,Atharva,Gupta,95.55,14
401039,Ritvik,Rishabh,Nagpal,95.54,14
401040,Dev,Krish,Sethi,95.54,14
401041,Aaradhya,Varun,Pai,95.54,14
401042,Rohit,Gaurav,Bose,95.52,14
401043,Tanisha,Zorawar,Nanda,95.52,14
401044,Eva,Mayank,Patel,95.52,14
401045,Advait,Rishabh,Halder,95.52,14
401046,Divya,Krish,Arora,95.52,14
401047,Manish,Laksh,Rao,95.52,14
401048,Bhavika,Parth,Mittal,95.52,14
401049,Mayank,Aarush,Arora,95.52,14
401050,Mahika,Aayush,Choudhury,95.52,14
401051,Bhavya,Siddharth,Ahuja,95.5,14
401052,Kavya,Devansh,Fadnavis,95.49,14
401053,Yashi,Aarush,Mazumdar,95.49,14
401054,Kiara,Vishal,Zinta,95.49,14
401055,Vishal,Shivansh,Gupta,95.48,14
401056,Devika,Aditya,Mahajan,95.48,14
401057,Pranavi,Hitesh,Yagnik,95.48,14
401058,Garima,Naman,Bose,95.48,14
401059,Aadi,Jay,Malhotra,95.48,14
401060,Dia,Akash,Qazi,95.48,14
401061,Laksh,Shivansh,Nair,95.48,14
401062,Varun,Akash,Malhotra,95.48,15
401063,Darshan,Yug,Fadnavis,95.48,15
401064,Nisha,Kunal,Roy,95.48,15
401065,Oviya,Divyansh,Xalxo,95.48,15
401066,Aditi,Abhishek,Dara,95.48,15
401067,Qirat,Ritvik,Zaveri,95.48,15
401068,Bhavin,Atharva,Talwar,95.48,15
401069,Advait,Jatin,Jain,95.48,15
401070,Manish,Hitesh,Zinta,95.48,15
401071,Shreya,Devansh,Inamdar,95.48,15
401072,Vidhi,Mayank,Mittal,95.48,15
401073,Kunal,Chandan,Ranganathan,95.48,15
401074,Zainab,Pratik,Tiwari,95.48,15
